stations	Latitude	Longitude
3	48.17	-69.53
4	48.2	-69.58
5	48.23	-69.27
6	48.28	-69.35
7	48.28	-69.44
8	48.32	-69.33
10	48.48	-69.04
12	48.61	-68.46
13	48.75	-68.57
14	48.86	-68.67
15	48.73	-68.08
16	48.92	-68.24
17	49.02	-68.36
18	48.89	-67.52
19	49.06	-67.7
20	49.25	-67.87
21	49.16	-67.24
22	49.87	-66.69
23	49.28	-66.28
24	50	-66.3
25	49.6	-66.2
26	49.23	-66.1
27	49.35	-64.6
28	49.21	-64
29	48.97	-63.52
30	48.81	-63.1
31	48.57	-62.1
32	48.41	-61.58
33	48.17	-60.72
34	47.89	-60.12
35	47.4	-59.53
37	50.25	-64.08
38	50.21	-64.08
39	50.26	-64.07
40	50.18	-61.97
41	50.11	-61.91
42	49.95	-61.9
43	50.14	-61.87
44	50.07	-61.84
45	50.12	-61.81
46	50.1	-61.8
47	50.02	-61.6
48	50.08	-61.38
49	49.98	-61.34
50	50.12	-61.32
51	48.51	-60.64
52	48.51	-60.64
53	48.33	-60.24
54	49.22	-60.17
55	49.71	-61.95
56	49.52	-60.8
57	49.33	-59.78
58	49.8	-59.47
59	49.8	-59.47
60	49.8	-59.46
61	50.12	-58.73
62	48.52	-62.63
63	48.64	-62.54
64	48.64	-62.54
65	47.35	-60.03
66	47.52	-59.88
67	49.09	-67.44
68	49.29	-63.99
69	47.92	-65.21
70	48.53	-61.17
71	47.15	-60.54
72	46.72	-60.22
73	46.99	-59.08
74	44.66	-55.62
75	45.85	-57.59
76	46.19	-57.94
77	47.5	-56.37
78	47.07	-57.05
79	45.84	-58.57
80	70.52	-64.52
81	71.33	-64.27
82	68.45	-63.53
87	62.65	-53.88
88	62.52	-59.45
89	64.4	-57.42
90	59.49	-45.87
91	58.92	-47.09
92	58.21	-48.36
93	58.36	-57.46
94	58.76	-57.12
99	57.98	-45.9
100	58.79	-43.97
103	59.86	-39.67
104	60.29	-40.22
105	62.32	-41.02
106	62.54	-38.83
107	62.91	-32.18
108	62.77	-30.36
109	63.87	-28.94
110	63.87	-28.93
111	63.87	-28.93
113	60.57	-22.08
114	57.55	-21.17
115	57	-20.83
116	55.95	-20.32
118	54.08	-21.08
119	52.57	-21.93
120	52.57	-21.93
121	51.72	-21.88
122	50.65	-21.73
123	50.1	-17.92
124	54.7	-12.78
125	50.27	-11.57
126	58.08	-10.72
127	52.29	-35.24
128	59.81	-15.86
129	62.46	-20.41
130	63.03	-81.08
131	63.03	-81.08
132	63.5	-83.27
133	62.37	-84.47
134	61.59	-86.32
135	62.69	-87.74
136	60.61	-81.18
137	60.2	-86.86
138	60.36	-86.03
139	58.71	-84.85
140	57.9	-83.34
141	55.38	-77.68
142	55.48	-77.96
143	55.1	-80.5
144	55.59	-81.76
145	57.97	-86.77
146	56.24	-76.37
147	56.39	-76.37
148	56.22	-76.45
149	64.52	-8.83
150	61.55	-18.69
151	53.33	-45.26
152	58.37	-57.51
153	59.15	-48.38
154	62.88	-22.85
155	50.28	-19.3
156	59.81	-27.92
158	56.11	-58.91
159	54.71	-56.45
160	54.72	-55.58
162	54.82	-52.87
163	55.03	-52.13
164	54.9	-52.75
168	59.49	-39.31
171	59.68	-30.36
173	58.94	-28.74
174	55.75	-30.23
175	53.06	-33.53
178	50.21	-45.69
179	37.77	-10.18
180	44.88	-3.3
181	56.52	-13.25
