OBSNAME	LONG	LATI
BA001	-65.1157	61.6758
BA002	-68.2358	62.5133
BA003	-67.0683	62.6407
BA004	-67.1025	63.1123
BA005	-70.7908	63.185
BA006	-77.8165	63.3808
BA007	-64.5458	63.4775
BA008	-76.8593	63.5918
BA009	-65.5211	63.6031
BA010	-68.524	63.768
BA011	-66.9523	64.0947
BA012	-75.725	64.476
BA013	-78.019	64.579
BA014	-66.3007	64.6193
BA015	-67.2827	64.6312
BA016	-76.155	64.68
BA017	-77.5928	64.859
BA018	-63.6032	64.947
BA019	-68.296	65.0038
BA020	-64.67	65.271
BA021	-67.413	65.35
BA022	-63.4587	65.4407
BA023	-65.1595	65.5742
BA024	-64.1577	65.5807
BA025	-63.152	65.668
BA026	-69.935	65.692
BA027	-65.5642	65.845
BA028	-64.586	65.865
BA029	-68.175	65.917
BA030	-67.295	66.099
BA031	-66.083	66.135
BA032	-66.084	66.1372
BA033	-65.1705	66.1822
BA034	-69.1608	66.1827
BA035	-65.766	66.267
BA036	-64.687	66.3145
BA037	-72.0118	66.4953
BA038	-65.5938	66.5146
BA039	-63.95	66.7833
BA040	-63.9623	66.799
BA041	-67.4143	66.865
BA042	-62.1698	66.9111
BA043	-62.903	66.9983
BA044	-65.335	67.7028
BA045	-66.2817	67.7966
BA046	-67.309	69.418
BA047	-70.409	69.883
BA048	-67.817	69.893
BA049	-75.43	70.0432
BA050	-71.407	70.1307
BA051	-76.0587	70.2717
BA052	-68.714	70.464
BA053	-70.6595	70.4818
BA054	-72.523	70.535
BA055	-74.7887	70.737
BA056	-72.2177	70.8968
BA057	-70.8632	70.9587
BA058	-78.3847	71.9177
BA059	-80.0812	71.9668
BA060	-81.1335	72.0502
BA061	-84.683	72.27
BA062	-78.956	72.278
BA063	-85.9935	72.2935
BA064	-76.431	72.383
BA065	-77.496	72.749
BA066	-85.67	72.911
BA067	-79.326	73.002
BA069	-79.0045	74.4133
BA070	-80.0565	75.0647
EAA001	-95.0167	69.8667
EAA002	-94.9833	69.8667
EAA003	-95,0000	69.9
EAA004	-94.9667	69.9167
EAA005	-95.0167	69.9333
EAA006	-94.883	72.017
EAA007	-94.767	72.017
EAA008	-94.6333	72.0333
EAA009	-94.95	72.2167
EAA010	-109.9667	72.2833
EAA011	-109.9833	72.3
EAA012	-95.033	72.483
EAA013	-95.067	72.583
EAA014	-93.8667	72.6
EAA015	-95.0833	72.6667
EAA016	-94.383	72.683
EAA017	-95.1333	72.8
EAA018	-93.95	72.833
EAA020	-95.2833	73.1333
EAA021	-95.3833	73.35
EAA022	-95.4833	73.5167
EAA023	-98.55	73.5667
EAA024	-98.4167	73.6
EAA025	-94.9	73.85
EAA026	-94.2667	74.6833
EAA027	-88.7	74.9333
EAA028	-98.5833	75.05
EAA029	-100.2333	75.1
EAA030	-93.6333	75.15
EAA031	-94.2333	75.4333
EAA032	-98.2167	75.5333
EAA033	-99.1167	75.9167
EAA034	-97.8167	76.3333
EAA035	-98.9	76.3833
EAA036	-76.7833	78.5
EAA037	-87.75	79.65
EAA038	-83.5	79.715
EAA039	-83.4667	79.7167
EAA040	-83.5167	79.7183
EAA041	-84.05	79.9725
EAA042	-83.3833	80.0167
EAA043	-84.4667	80.5667
EAA044	-83.9667	80.5833
EAA045	-84.6833	80.75
EAA046	-84.45	80.8167
EAQ001	-70.767	60.617
EAQ002	-70.317	60.833
EAQ003	-69.992	60.979
EAQ004	-69.958	60.988
GA001	-44.3833	59.9
GA002	-44.3833	59.9
GA003	-43.7333	59.9
GA004	-43.5	59.9083
GA005	-43.5	59.9083
GA006	-44.35	59.9667
GA007	-44.35	59.9667
GA008	-44.35	59.9667
GA009	-44.35	59.9667
GA010	-43.1833	60.0367
GA011	-44.2333	60.05
GA013	-44.2833	60.0583
GA014	-44.2667	60.0833
GA015	-44.2667	60.0833
GA016	-43.0933	60.09
GA017	-43.0983	60.0933
GA018	-44.2667	60.1917
GA019	-44.2667	60.1917
GA020	-44.1667	60.2333
GA021	-44.2667	60.3333
GA022	-44.2667	60.3333
GA023	-46.05	60.7167
GA024	-46.05	60.7167
GA025	-46.05	60.7167
GA026	-46.05	60.7167
GA027	-45.2167	60.7667
GA028	-45.2167	60.7667
GA029	-46.468	60.853
GA030	-47.12	60.958
GA031	-47.75	61,0000
GA032	-47.753	61.005
GA033	-45.5333	61.1333
GA034	-45.5333	61.1333
GA035	-45.5325	61.1333
GA036	-45.55	61.15
GA037	-48.994	61.487
GA038	-49.095	61.753
GA039	-49.616	62.08
GA040	-51.717	64.308
GA041	-50.3917	64.3667
GA042	-50.3917	64.3667
GA043	-50.3833	64.3667
GA044	-50.533	64.392
GA045	-51.6833	64.4
GA046	-50,0000	64.4
GA047	-50.2	64.4333
GA048	-51.9167	64.4667
GA049	-50.5833	64.7667
GA050	-51.883	64.85
GA051	-51.1333	69.2
GA052	-28.0333	70.5167
GA053	-24.1167	70.7667
GA054	-27.7333	70.95
GA055	-24.3667	71.1333
GA056	-20.05	75.3167
GA057	-58.6	75.3667
GA058	-58.6	75.3667
GA061	-30.5667	82.1667
WAA001	-146.483	68.333
WAA002	-166.25	68.43
WAA003	-160.53	68.6
WAA004	-164.27	68.68
WAA005	-162.96	69.48
WAA006	-160.91	69.56
WAA007	-162.03	69.62
WAA008	-149.5	69.73
WAA009	-162.72	69.81
WAA010	-146.61	69.84
WAA011	-143.55	69.86
WAA012	-161.27	69.88
WAA013	-151.89	69.92
WAA014	-150.77	69.92
WAA015	-153.25	69.9667
WAA016	-147.59	69.97
WAA017	-150.97	69.98
WAA018	-149.26	70.02
WAA019	-143.75	70.06
WAA020	-147.4	70.08
WAA021	-145.77	70.09
WAA022	-161.8	70.11
WAA023	-161.45	70.15
WAA024	-158.43	70.26
WAA025	-153.87	70.29
WAA026	-150.51	70.3
WAA027	-149.23	70.33
WAA028	-150.45	70.4
WAA029	-157.4	70.43
WAA030	-149.11	70.44
WAA031	-153,0000	70.51
WAA032	-153.77	70.55
WAA033	-159.55	70.58
WAA034	-158.49	70.69
WAA035	-158.4	70.7
WAA036	-156.27	70.7
WAA037	-157.41	70.83
WAA038	-153.72	70.87
WAA039	-154.67	70.93
WAA040	-154.98	71.04
WAA041	-156.52	71.13
WAA042	-156.37	71.23
WAB001	-123.0667	71.1167
WAB002	-123.0333	71.1167
WAB003	-123,0000	71.1333
WAB004	-122.95	71.1333
WAB005	-122.85	71.1333
WAB006	-122.7833	71.15
WAB007	-122.45	71.3167
WAB008	-120.9167	71.5667
WAB009	-120.7	71.5667
WAB010	-120.75	71.6
WAB011	-120.75	71.6167
WAB012	-120.65	71.7
WAB013	-122.7	71.75
WAB014	-122.6667	71.7833
WAB015	-120.6833	71.8333
WAB016	-120.7	72.0833
WAB017	-119.3	72.7167
WAB018	-119.1667	72.7833
WAB019	-119.0833	72.8
WAB020	-118.9333	72.8833
WAB021	-119.1667	72.9333
WAB022	-117.6667	73.05
WAB023	-117.5833	73.0833
WAB024	-117.3833	73.1
WAB025	-118.4667	73.1167
WAB026	-117.4	73.15
WAB027	-117.3333	73.2333
WAB028	-118.2833	73.3833
WAB029	-117.9333	73.4333
WAB030	-117.9167	73.45
WAB031	-120.6333	73.5333
WAB032	-117.5667	73.5333
WAB033	-117.5	73.55
WAB034	-116.45	73.55
WAB035	-116.4167	73.5833
WAB036	-116.3333	73.7167
WAB037	-116.3667	73.7667
WAB038	-116.55	73.8333
EBL001	-56.196	50.034
EBL002	-57.2	51.45
EBL003	-57.233	51.5
EBL004	-57.3	51.517
EBL005	-56.75	51.583
EBL006	-57.867	52.083
EBL007	-57.833	52.083
EBL008	-57.45	52.133
EBL009	-57.55	52.2
EBL010	-57.433	52.2
EBL011	-58.05	52.267
EBL012	-57.717	52.367
EBL013	-57.033	52.4
EBL014	-56.667	52.417
EBL015	-56.533	52.45
EBL016	-57.367	52.5
EBL017	-57.033	52.517
EBL018	-65.933	52.533
EBL019	-56.283	52.55
EBL020	-57.817	52.583
EBL021	-65.867	52.6
EBL022	-56.667	52.6
EBL023	-56.183	52.6
EBL024	-56.383	52.733
EBL025	-56.7	52.867
EBL026	-57.75	53.05
EBL027	-58.55	53.233
EBL028	-60.167	53.517
EBL029	-60.617	53.6
EBL030	-60.9	53.617
EBL031	-60.75	53.617
EBL032	-60.683	53.633
EBL033	-60.317	53.683
EBL034	-60.233	53.717
EBL035	-58.917	53.95
EBL036	-61.133	54.3
EBL037	-60.883	54.3
EBL038	-62.883	54.333
