stations	Aand	Atax	Btep	Bspo	Iacu	Ipal	Ipar	Ipat	Isph	Istr	Ipli	Ivel	Ijap	Lmac	Mcho	Nlab	Nrig	Ocen	Oisr	Ojan	Olon	Ogig	Pzoh	Pret	Smem	Sdel	Selo	Sram	Sbel	Sben	Sbul	Slaz	Smir	Sgra	Spac	Sspp	Tpel	Pdal	Stri	Imin	Imic	Ibre	Ekar	Bspp	Dubr	Peri	Lspp	Snep	Xxan	Squa	Pnud	Tapp	Tvar	Vcal	Vspi	Pame	Qcon	 Psch	Parc	Pkof	Gymn	Eacu	Egra	Edel	Etra	Espp	Sste	Sbif	Cysa	Tvan	Dcha
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.5195530726257	0	0	0	0	0	0	0	0	16.7597765363128	5.58659217877095	0	0	0	0	0	0	0	0	0	329.608938547486	0	89.3854748603352	0	0	0	469.27374301676	0	0	0	0	0	50.2793296089386	0	0	0	0	0	5.58659217877095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	10.8695652173913	0	0	0	0	0	0	0	0	0	0	0	0	21.7391304347826	0	21.7391304347826	0	0	0	0	0	0	0	0	10.8695652173913	0	0	0	0	0	0	0	0	0	0	206.521739130435	0	76.0869565217391	0	0	0	586.95652173913	0	0	0	0	0	43.4782608695652	0	0	0	0	0	21.7391304347826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.17283950617284	0	55.5555555555556	0	0	0	0	0	0	0	0	6.17283950617284	0	0	0	0	0	0	0	0	18.5185185185185	0	135.802469135802	0	129.62962962963	0	0	0	543.20987654321	0	0	0	0	0	49.3827160493827	0	0	0	0	0	55.5555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	7.14285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.14285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271.428571428571	0	121.428571428571	0	0	0	485.714285714286	0	0	0	0	0	85.7142857142857	0	0	0	0	0	21.4285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	4.8780487804878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.2682926829268	0	0	0	0	0	0	0	0	4.8780487804878	0	0	0	0	0	0	0	0	0	0	292.682926829268	0	73.1707317073171	4.8780487804878	0	0	541.463414634146	0	0	0	0	0	14.6341463414634	0	0	0	0	0	34.1463414634146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.0231213872832	0	0	0	0	0	0	0	0	5.78034682080925	0	0	0	0	0	0	0	0	0	0	115.606936416185	0	92.485549132948	0	0	0	624.277456647399	0	0	0	0	0	104.046242774566	0	0	0	0	0	5.78034682080925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.2765957446809	0	31.9148936170213	0	0	0	0	0	0	0	0	21.2765957446809	10.6382978723404	0	0	0	0	0	0	0	21.2765957446809	0	138.297872340426	10.6382978723404	74.468085106383	0	0	0	617.021276595745	0	0	0	0	0	42.5531914893617	0	0	0	0	0	10.6382978723404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.84795321637427	0	64.327485380117	0	0	0	0	0	0	0	0	17.5438596491228	5.84795321637427	0	0	0	0	0	0	0	5.84795321637427	0	198.830409356725	0	23.3918128654971	0	0	0	578.947368421053	0	0	0	0	0	23.3918128654971	0	0	0	0	0	76.0233918128655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.3333333333333	0	20	0	0	0	0	0	0	0	0	13.3333333333333	0	0	0	0	0	0	0	0	0	0	350	0	56.6666666666667	0	0	0	386.666666666667	0	0	0	0	0	73.3333333333333	0	0	0	0	0	76.6666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.09219858156028	0	7.09219858156028	0	0	0	0	0	0	0	0	17.7304964539007	7.09219858156028	0	0	0	0	0	0	0	0	0	464.539007092199	0	35.4609929078014	0	0	0	276.595744680851	0	0	0	0	0	184.397163120567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
