Obsname	tdjf	tmam	tjja	tson	tjjas	tjan	tfeb	tmar	tapr	tmay	tjun	tjul	taug	tsep	toct	tnov	tdec	ptotal	pdjf	pmam	pjja	pson	pjjas	pjan	pfeb	pmar	papr	pmay	pjun	pjul	paug	psep	poct	pnov	pdec	sann	sdjf	smam	sjja	sson	sjjas	sjan	sfeb	smar	sapr	smay	sjun	sjul	saug	ssep	soct	snov	sdec	gdd0	gdd5	mipt	aaetpt	apetpt	miptev	aaetptev	apetptev	miptdc	aaetptdc	apetptdc
BA001	-19.4	-12.2333333333333	3.2	-4	2.55	-20.7	-21	-19.7	-12.3	-4.7	0.3	4.8	4.5	0.6	-4.1	-8.5	-16.5	341	44	33	144	120	49	13	10	8	10	15	24	53	67	52	39	29	21	32.9833333333333	28.9333333333333	42.9333333333333	36.1333333333333	23.9333333333333	33.575	26.3	40.2	46.7	48.5	33.6	35.4	38.2	34.8	25.9	23.1	22.8	20.3	301.2	0	0.7443	180.423	242.3925	0.7217	150.3519	208.3346	0	0	0
BA002	-24	-14.5	3.7	-5.56666666666667	2.95	-25.2	-26.1	-23.2	-14.9	-5.4	1	5.3	4.8	0.7	-5.5	-11.9	-20.7	425	72	70	159	124	51.75	24	22	22	23	25	38	58	63	48	41	35	26	30.35	25.8333333333333	42.0666666666667	33.2	20.3	30.425	22.9	38	46.6	48	31.6	30.9	35.8	32.9	22.1	18.3	20.5	16.6	340.3	3.1	0.7095	164.8573	232.3716	0.6932	136.9694	197.6036	0.5557	22.855	41.1275
BA003	-24.9	-15.8333333333333	1.96666666666667	-7.33333333333333	1.15	-26	-26.8	-24.3	-16.3	-6.9	-0.8	3.7	3	-1.3	-7.3	-13.4	-21.9	498	90	81	177	150	58.5	29	27	26	26	29	40	64	73	57	49	44	34	30.675	26.9333333333333	42.1333333333333	32.7	20.9333333333333	30.05	24	39.2	46.5	48.1	31.8	31.2	35.2	31.7	22.1	19.4	21.3	17.6	182.4	0	0.5309	115.5696	217.6973	0.5856	99.5172	169.9432	0	0	0
BA004	-23.4333333333333	-14.2	3.76666666666667	-5.5	2.975	-24.5	-25.3	-22.7	-14.6	-5.3	1	5.4	4.9	0.6	-5.3	-11.8	-20.5	415	63	62	158	132	52.5	20	19	17	21	24	34	58	66	52	44	36	24	31.6	26.9666666666667	43.2666666666667	34.1	22.0666666666667	31.475	23.8	39.5	47.2	49.2	33.4	32.4	36.7	33.2	23.6	20.3	22.3	17.6	344.7	5.5	0.6296	146.3106	232.4046	0.616	122.4974	198.8608	0.5433	28.0506	51.6294
BA005	-24.2666666666667	-14.7	4.53333333333333	-5.2	3.725	-25.5	-26.4	-23.5	-15.1	-5.5	1.7	6.4	5.5	1.3	-5	-11.9	-20.9	373	54	64	146	109	47	18	16	17	22	25	34	54	58	42	37	30	20	28.9416666666667	21.5333333333333	41.4	34.4333333333333	18.4	31.325	17.9	35	45.7	48	30.5	31.4	37	34.9	22	16.7	16.5	11.7	422.2	36.8	0.7679	180.4868	235.0405	0.7599	154.8672	203.8125	0.6379	53.9378	84.5524
BA006	-23.4333333333333	-14.6333333333333	3.26666666666667	-5.3	2.525	-25.3	-25.9	-23.2	-14.7	-6	0.2	5.2	4.4	0.3	-4.7	-11.5	-19.1	375	67	62	117	129	41.5	21	18	17	21	24	27	40	50	49	42	38	28	27.5833333333333	16.3333333333333	40.4666666666667	37.3	16.2333333333333	33.725	10.4	34.1	43.6	48.7	29.1	34.4	39.9	37.6	23	15.8	9.9	4.5	303.4	0.9	0.6277	143.3923	228.4516	0.5905	115.3319	195.3159	0.2848	5.4025	18.9694
BA007	-19.2666666666667	-11.8333333333333	4	-3.86666666666667	3.3	-20.4	-20.6	-19.3	-12	-4.2	1.1	5.5	5.4	1.2	-3.8	-9	-16.8	475	59	53	185	178	63	17	14	7	21	25	32	66	87	67	62	49	28	35	28.5666666666667	45.9333333333333	38.9	26.6	36.3	25.3	41.1	49	51.8	37	38.6	41	37.1	28.5	26.6	24.7	19.3	378.2	15.4	0.6443	160.4348	249.0219	0.6167	135.2866	219.3768	0.4861	34.4775	70.9255
BA008	-23.9666666666667	-14.5333333333333	3.96666666666667	-5.33333333333333	3.125	-25.4	-26.2	-23.1	-14.5	-6	1	6.1	4.8	0.6	-4.7	-11.9	-20.3	394	71	74	120	129	41.5	22	19	20	27	27	25	40	55	46	41	42	30	27.175	14.7666666666667	40.1666666666667	37.8333333333333	15.9333333333333	34.2	8.4	32.8	43	48.7	28.8	34.7	40.3	38.5	23.3	15.5	9	3.1	363.2	18.1	0.7153	166.9599	233.3966	0.6932	139.7475	201.6091	0.531	35.3673	66.601
BA009	-23.0666666666667	-15.0333333333333	2.03333333333333	-6.9	1.2	-24.1	-24.6	-23	-15.4	-6.7	-0.8	3.7	3.2	-1.3	-6.8	-12.6	-20.5	512	79	72	186	175	62.75	24	22	17	25	30	37	66	83	65	60	50	33	32.925	27.7333333333333	44.4	35.5666666666667	24	32.975	24.6	40.5	47.9	50.4	34.9	35	37.9	33.8	25.2	23.6	23.2	18.1	188.3	0	0.5338	116.4262	218.101	0.56	98.2971	175.5426	0	0	0
BA010	-26.2	-15.5333333333333	4.76666666666667	-6.26666666666667	3.825	-27.1	-28.3	-25	-16.1	-5.5	2.2	6.5	5.6	1	-6	-13.8	-23.2	425	67	73	160	125	52.5	23	21	21	25	27	37	60	63	50	41	34	23	30.9583333333333	25.8333333333333	43.7333333333333	32.8333333333333	21.4333333333333	30.3	22	39.7	46.9	49.8	34.5	30.9	35.8	31.8	22.7	19	22.6	15.8	433.1	41.9	0.7377	173.0038	234.5208	0.7369	148.7623	201.8784	0.5932	50.2955	84.7938
