stations	DIST	bathy	S8	S2	Ssummer	Swinter	T8	T2	Tsummer	Twinter	DO	N	P	S	SeaIce1	SeaIce2	SeaIce3	SeaIce4	SeaIce5	SeaIce6	SeaIce7	SeaIce8	SeaIce9	SeaIce10	SeaIce11	SeaIce12	SeaIceC	SeaIcemonths	ProdJanC	ProdFevC	ProdMarC	ProdAprC	ProdMayC	ProdJunC	ProdJulC	ProdAugC	ProdSepC	ProdOctC	ProdNovC	ProdDecC	ProdWC	ProdSprC	ProdSumC	ProdfallC	PPA0207	gCYC0217
3	0.0605964487179	166	20.94	27.05	22.33	28.0097999572753	8.76471042633056	-0.55	8.64	-0.53431	6.97714948654174	4.61548423767089	0.630367696285247	3.6370210647583	44.7241379968	49.5689655172	42.9137931034	39.3448275204	14.5862068966	0	0	0	0	0	0	8.58620689655	16.6436781609	2.9	370	546	786	1517	3599	5436	5300	4629	2866	1460	888	716	567.333333333333	3517.33333333333	4265	1021.33333333333	556.03	855.10375
4	0.0128879464584	13	20.86	27.05	22.32	28.0097999572753	8.76471042633056	-0.55	8.65	-0.53431	6.97714948654174	4.61548423767089	0.630367696285247	3.6370210647583	44.7241379968	49.5689655172	42.9137931034	39.3448275204	14.5862068966	0	0	0	0	0	0	8.58620689655	16.6436781609	2.9	370	546	786	1517	3599	5436	5300	4629	2866	1460	888	716	567.333333333333	3517.33333333333	4265	1021.33333333333	556.03	855.10375
5	0.084804337218	77	26.56	27.97	24.35	28.0097999572753	8.76471042633056	-0.49	8.19	-0.53431	6.97714948654174	4.61548423767089	0.630367696285247	3.6370210647583	44.7241379968	49.5689655172	42.9137931034	39.3448275204	14.5862068966	0	0	0	0	0	0	8.58620689655	16.6436781609	3.15	356	482	720	1451	3747	5848	5770	5244	3140	1538	825	627	519.333333333333	3682	4718	996.666666666667	556.03	904.835
6	0.0682454253747	240	26.49	28.07	24.46	28.13570022583	8.89200019836425	-0.52	8.21	-0.44126	6.97714948654174	4.61548423767089	0.630367696285247	3.6370210647583	44.7241379968	49.5689655172	42.9137931034	39.3448275204	14.5862068966	0	0	0	0	0	0	8.58620689655	16.6436781609	2.77	341	449	639	1435	4214	7412	7091	6412	4168	1700	836	600	476.333333333333	4353.66666666667	5890.33333333333	1045.33333333333	556.03	1073.61708333333
7	0.0080477261282	52	24.24	27.57	23.46	28.13570022583	8.89200019836425	-0.5	8.33	-0.44126	6.97714948654174	4.61548423767089	0.630367696285247	3.6370210647583	44.7241379968	49.5689655172	42.9137931034	39.3448275204	14.5862068966	0	0	0	0	0	0	8.58620689655	16.6436781609	2.77	341	449	639	1435	4214	7412	7091	6412	4168	1700	836	600	476.333333333333	4353.66666666667	5890.33333333333	1045.33333333333	556.03	1073.61708333333
8	0.0632865191528	296	26.53	28.07	24.59	28.13570022583	8.89200019836425	-0.52	8.2	-0.44126	6.97714948654174	4.61548423767089	0.630367696285247	3.6370210647583	44.7241379968	49.5689655172	42.9137931034	39.3448275204	14.5862068966	0	0	0	0	0	0	8.58620689655	16.6436781609	2.95	349	463	681	1468	4120	7311	6943	6049	3987	1661	824	586	497.666666666667	4299.66666666667	5659.66666666667	1023.66666666667	556.03	1047.61083333333
10	0.127521311241	276	27.13	28.15	26.47	28.2616004943847	9.01930046081542	-0.48	7.56	-0.34821	6.97714948654174	4.61548423767089	0.630367696285247	3.6370210647583	44.7241379968	49.5689655172	42.9137931034	39.3448275204	14.5862068966	0	0	0	0	0	0	8.58620689655	16.6436781609	3.28	341	480	689	1381	3831	6968	6356	5313	3519	1522	766	533	503.333333333333	4060	5062.66666666667	940.333333333333	556.03	964.177916666667
12	0.0846578782375	78	27.42	28.15	27.11	29.2586002349853	9.36028957366943	-0.47	8.2	-0.4	7.28733205795288	3.51945424079895	0.692369520664215	4.34256935119628	45.0172413793	50.5	41.8103448276	38.0172416424	14.1724137273	0	0	0	0	0	0	7.96551710984	16.4568965572	3.54	331	424	641	1438	4005	7197	7246	6327	3559	1569	828	716	465.333333333333	4213.33333333333	5710.66666666667	1037.66666666667	526.83	1042.71375
13	0.164234072638	259	27.31	28.15	27.02	28.9671993255615	9.2616901397705	-0.46	8.16	-0.35	7.28733205795288	3.51945424079895	0.692369520664215	4.34256935119628	45.0172413793	50.5	41.8103448276	38.0172416424	14.1724137273	0	0	0	0	0	0	7.96551710984	16.4568965572	3.41	322	450	675	1507	3981	6664	5892	5424	3529	1483	847	740	482.333333333333	4050.66666666667	4948.33333333333	1023.33333333333	556.03	958.550833333333
14	0.0394601415132	112	27.4	29.09	27.12	29.2189998626708	9.33010005950927	-0.61	8.26	-0.46	7.28733205795288	3.51945424079895	0.692369520664215	4.34256935119628	44.7241379968	49.5689655172	42.9137931034	39.3448275204	14.5862068966	0	0	0	0	0	0	8.58620689655	16.6436781609	3.39	327	457	717	1643	4831	7718	7195	6729	4212	1755	900	798	500.333333333333	4730.66666666667	6045.33333333333	1151	556.03	1133.99416666667
