OBSNAME	PABI	BALN	CAMB	APIA	CART	TULI	BBET	BRAS	CARY	CHEN	BCOR	CUPR	CYPE	RDRY	ELAE	ERIC	FABA	FFAG	OFRA	PLAR	MMYR	ONAG	POXR	PAPA	PPIC	PPIN	PPLA	POAC	POLE	POLY	SPOP	FQUE	RANU	ROSA	SSAL	SAXI	SCRO	RTHA	ULMA
BA001	0	15.023	0.939	0	4.225	0	15.962	0	0	0.939	0	0	17.84	0	0	2.817	0	0	0	0	0	0	0.939	0	16.901	17.371	0	5.164	0	0	0	0	0	0	1.408	0.469	0	0	0
BA002	1.085	6.725	1.302	0	1.518	1.735	11.497	0.217	0.434	1.085	0	0	41.432	0.434	0	6.941	0.217	0	0.217	0.217	0	0	0	0	3.471	6.941	0	3.471	0	0	0	0	0	0.217	9.978	0.868	0	0	0
BA003	0.236	11.085	15.094	0	11.085	2.594	5.66	0.472	0.236	1.179	0	0.236	16.509	0.708	0	3.538	0.236	0	0.236	0	0	0	0.472	0	11.085	6.604	0	8.962	0	0	0.236	0	0	1.651	0.708	1.179	0	0	0
BA004	1.927	13.102	4.817	0	3.854	0.193	17.341	0	0.385	0.385	0	0	23.507	0	0	8.478	0.193	0	0.193	0.771	0	0	0.193	0	9.056	10.405	0	1.541	0	0	0.385	0	0	0.193	2.89	0.193	0	0	0
BA005	0.254	13.452	1.269	0	6.599	0.254	13.452	0	0.254	0.508	0	0.761	22.843	0.254	0	12.183	1.015	0	0	1.269	0.254	0	0	0	4.061	11.929	0	4.822	0	0	0	0	0	0.254	3.299	1.015	0	0	0
BA006	0	10.929	2.732	0	3.825	0	18.033	0.546	0	0	0.546	0	20.765	0	0	5.464	1.093	0	0.546	1.093	0	0	1.093	0	2.732	19.126	0	7.65	0	0	0	0	0	0	3.279	0.546	0	0	0
BA007	0.352	13.732	2.113	0	2.113	0	9.507	0	0	0	0.352	0	23.239	0.352	0	15.141	0.704	0	0	0	0	0.352	0.352	0	10.915	7.746	0	4.93	0	0.352	0.352	0	0	0.352	7.042	0	0	0	0
BA008	0	13.072	4.575	0	7.843	0	11.765	0	1.961	0.654	0	0	19.608	1.307	0	3.922	0.654	0	0	0	0	0	4.575	0	13.072	5.882	0	4.575	0	0	0	0	0	1.307	5.229	0	0	0	0
BA009	0	8.117	3.109	0	8.117	0.518	13.126	0	0	0	0	0	18.826	0	0	11.226	0.345	0	0	0	0	0	1.036	0	10.017	11.054	0	9.326	0	0	0	0	0	0.345	4.836	0	0	0	0
BA010	0	15.618	1.952	0	2.169	0	13.666	0	0	0	0	0	23.861	0.434	0	15.835	0.217	0	0	0	0	0	4.555	0	4.772	5.857	0	6.074	0	0	0	0	0.217	0	4.772	0	0	0	0
